network,station,latitude,longitude,elevation
GS,CA10,35.56736,-117.66743,835
NC,BBGB,36.57848,-121.03957,1089
NC,BSG,36.41381,-121.25518,160
NC,MCS,37.65487,-118.90576,2417
NC,MDPB,37.63227,-119.07935,2360
NC,MMT,37.37604,-119.17962,2714
NC,MTU,37.35316,-118.56326,1792
NC,MYL,37.38349,-120.42052,57
NC,PBIB,35.1614,-120.47517,522
NC,PBM,35.39445,-120.3539,1049
NC,PCC,36.08977,-121.16361,372
NC,PHOB,35.86661,-120.47961,796
NC,PHSB,35.82404,-121.05393,475
NC,PJU,36.22697,-120.59352,925
NC,PKE,36.06103,-120.10963,244
NC,PKY,35.26401,-120.66667,101
NC,PML,34.89472,-120.60927,468
NC,PMPB,36.2159,-120.80126,802
NC,PSAB,36.02486,-120.88927,150
NC,PSM,36.06881,-120.59618,957
NC,PWM,36.43268,-120.21236,45
NN,BEN,37.7154,-118.5741,2476
NN,BHP,37.3,-118.4883,2171
NN,CAS,37.5757,-118.5539,2295
NN,DSP,37.368,-117.9722,1692
NN,GMN,37.3003,-117.2607,2168
NN,GWY,36.186,-116.6698,1538
NN,LCH,37.2329,-117.6459,1414
NN,MIL,38.0247,-118.1868,2030
NN,POC,37.3622,-118.2801,1799
NN,QSM,35.965,-116.8691,385
NN,RRK,36.0656,-115.4668,1193
NN,SHP,36.5047,-115.1567,1632
NN,WLDB,36.7927,-116.6266,955
NP,1041,34.9977,-119.4858,837
NP,1041,34.99771,-119.48584,837
NP,286,32.95477,-115.8243,218
NP,5030,34.52149,-117.99099,856
NP,5036,34.1926,-117.42744,618
NP,5053,32.6695,-115.4925,2
NP,5054,32.69323,-115.33819,9
NP,5056,32.95977,-115.32021,-3
NP,5058,32.75172,-115.59516,-6
NP,5062,33.17747,-115.61564,-64
NP,5080,34.07834,-118.69391,413
NP,5081,34.08377,-118.599,203
NP,5230,33.56809,-116.51176,1387
NP,5231,33.45931,-116.64423,1331
NP,5241,33.51237,-116.80035,1043
NP,5271,33.35262,-115.73325,-96
NP,5272,32.7081,-115.09256,38
NP,5288,33.69729,-118.02485,1
NP,5330,34.10348,-117.34895,364
NP,5337,34.14003,-117.29392,364
NP,5371,34.20588,-117.3671,567
NP,5375,33.15569,-116.1679,117
NP,5402,34.07618,-118.3959,39
NP,5403,34.39697,-119.29874,124
NP,5409,34.23396,-117.48244,840
NP,5419,35.64906,-117.66187,690
NP,5422,34.18504,-118.44698,216
NP,5425,34.27718,-118.55965,362
NP,5430,33.19814,-117.37824,25
NP,5431,34.2186,-118.86804,249
NP,5434,34.0848,-118.86379,413
